"species","distance","core_genome","soft_core_genome","shell_genome","cloud_genome","pangenome","indelrates"
"saureus",1.05167,2099,92,922,1290,4403,1.997158
"saureus",0.67128,2170,52,910,690,3822,32.59346
"saureus",0.90426,2122,86,819,849,3876,28.56282
"saureus",1.0571,2142,54,855,723,3774,1.937938
"saureus",0.84328,2153,37,1054,926,4170,34.39981
"saureus",1.36735,2110,68,942,1101,4221,1.251884
"saureus",0.85311,2135,72,932,1239,4378,31.9303
"saureus",1.51574,2111,50,784,1380,4325,0.6290973
"saureus",1.04857,2095,78,1091,1356,4620,21.72201
"saureus",1.23075,2098,72,1005,1051,4226,1.531101
"saureus",1.05052,2121,76,852,1269,4318,27.81355
"saureus",0.6874,2158,70,887,846,3961,32.52524
"saureus",0.98347,2109,100,836,856,3901,28.495
"saureus",0.83025,2138,73,808,1104,4123,29.30203
"saureus",0.99409,2131,44,1024,952,4151,1.376962
"saureus",0.83563,2139,64,865,997,4065,27.62463
"saureus",0.67418,2174,26,916,807,3923,29.02707
"saureus",1.19515,2098,74,1002,1129,4303,1.610574
"saureus",1.43964,2115,74,755,1049,3993,0.8161085
"saureus",1.1835,2105,70,993,1235,4403,1.781007
"saureus",0.88081,2115,96,796,1131,4138,28.07305
"saureus",0.829,2144,72,792,1078,4086,26.17903
"saureus",0.628,2155,26,875,1070,4126,28.78871
"saureus",1.22374,2119,67,870,1295,4351,1.593787
"saureus",0.98384,2122,55,972,925,4074,2.199666
"saureus",1.05095,2135,51,969,1023,4178,1.805086
"saureus",1.05988,2139,38,937,1035,4149,1.958898
"saureus",0.8373,2143,77,840,1185,4245,24.54398
"saureus",0.68065,2164,72,749,1091,4076,32.56513
"saureus",1.3774,2107,70,997,1262,4436,1.181362
"saureus",1.23315,2111,74,888,1216,4289,1.358401
"saureus",1.00155,2144,37,946,1222,4349,1.671955
"saureus",1.37064,2106,57,1014,1382,4559,1.733104
"saureus",1.15775,2116,74,819,1089,4098,1.27373
"saureus",1.21262,2116,63,840,1248,4267,1.329814
"saureus",1.52238,2113,50,936,1219,4318,0.9072026
"saureus",1.44162,2107,61,914,1071,4153,0.9693431
"saureus",1.19592,2079,73,942,1346,4440,1.556328
"saureus",1.02716,2140,39,901,925,4005,1.356935
"saureus",0.68425,2167,53,1002,808,4030,28.46765
"saureus",0.88904,2137,84,819,1026,4066,30.07453
"saureus",1.07577,2108,72,957,1049,4186,1.77307
"saureus",1.03613,2108,69,934,1100,4211,1.71795
"saureus",1.11482,2093,82,858,1061,4094,1.243224
"saureus",1.39036,2106,67,949,1251,4373,1.19094
"saureus",1.0117,2128,60,911,930,4029,1.593799
"saureus",0.68844,2155,70,944,1109,4278,30.68885
"saureus",0.83891,2145,54,946,1121,4266,26.02398
"saureus",0.86297,2148,44,915,908,4015,22.59901
"saureus",0.89492,2118,87,956,1339,4500,27.5102
"saureus",0.84358,2135,66,888,865,3954,31.24151
"saureus",1.02594,2106,58,954,1165,4283,2.087209
"saureus",1.42281,2058,98,967,1116,4239,1.065969
"saureus",1.21354,2115,56,880,1014,4065,1.580365
"saureus",1.03554,2136,51,823,947,3957,1.793322
"saureus",0.68717,2154,85,875,888,4002,31.17207
"saureus",0.85897,2141,69,888,1051,4149,33.40644
"saureus",0.62324,2153,84,848,1057,4142,26.26511
"saureus",1.06554,2124,41,1057,871,4093,1.809087
"saureus",0.77746,2134,94,920,960,4108,27.69719
"saureus",1.19864,2104,72,972,1039,4187,1.409991
"saureus",1.09023,2105,94,880,991,4070,30.42858
"saureus",0.8349,2152,77,827,1028,4084,26.74955
"saureus",1.22293,2114,58,914,1256,4342,1.303359
"saureus",0.88243,2128,81,805,914,3928,27.83413
"saureus",1.21839,2116,66,964,1057,4203,1.722862
"saureus",1.0706,2129,46,934,921,4030,1.834306
"saureus",1.19461,2098,80,975,1047,4200,1.625798
"saureus",1.0106,2130,69,945,817,3961,1.674016
"saureus",0.68954,2168,78,795,1037,4078,28.62521
"saureus",1.39834,2073,90,795,1174,4132,0.916853
"saureus",1.25201,2104,82,804,1215,4205,1.459058
"saureus",0.68249,2177,57,934,766,3934,26.96904
