distance
2.87079
2.87917
2.9151
2.7146
2.84049
2.79382
2.77312
2.76045
2.91936
2.88955
2.98269
2.91899
2.81816
2.82466
2.69989
2.88371
2.96144
2.77523
2.91163
2.92671
2.85317
2.51232
2.78312
2.90521
2.90677
2.87815
2.821
2.83413
2.84165
3.03491
2.94948
2.73725
2.68323
2.86848
2.8319
2.88992
2.96129
2.67866
2.76937
2.84132
3.07399
2.86975
2.8099
2.7564
2.89251
2.78743
2.94881
2.85655
2.97121
2.8137
2.9972
2.84069
2.85818
2.73177
2.94498
2.91213
2.69489
2.86353
2.72174
2.89366
2.9785
3.02808
2.85553
2.6208
2.98197
2.89842
2.83634
2.83019
2.92609
2.80378
2.81938
2.95273
2.69681
2.81384
2.94808
2.95491
2.74981
2.98047
2.71573
2.72436
2.86841
2.76476
2.92949
2.80446
2.81233
2.77169
3.07831
2.85781
2.75996
2.79462
2.86808
2.86957
2.91663
2.86529
2.86345
2.64203
2.99219
2.68262
2.73234
2.6964
