distance
1.68896
1.53706
1.89597
1.72405
1.86239
1.89776
1.45826
1.90566
1.42823
1.93938
1.8567
1.75486
1.69773
1.57597
2.05651
1.96836
1.95866
1.59779
1.84949
1.67977
1.69991
1.76534
1.67247
2.02935
1.79042
2.22467
1.82758
1.64613
1.53867
1.6897
1.87593
1.71755
1.92005
1.50063
1.69365
1.93839
1.90736
1.91411
2.15106
1.71481
1.92246
1.68212
1.83351
1.93391
1.97412
1.97712
1.86514
1.81806
2.0451
1.89254
1.73641
2.00161
1.76932
1.61031
1.61579
1.76938
1.53191
1.42912
2.03968
2.10928
1.69598
1.79478
1.97885
1.90367
1.85172
2.16998
1.6074
1.75066
2.00435
1.96977
1.85141
1.74022
2.16158
1.97195
1.98127
1.85774
2.12639
1.94555
1.90332
1.55963
2.09128
1.99622
2.01163
1.81427
1.99432
1.65676
1.76479
1.83594
1.84252
1.80317
1.95746
1.74296
1.81487
2.0342
2.06133
1.95029
1.93933
1.78541
1.9912
1.96092
