indelrates
3.25447
1.644244
NA
1.918206
NA
NA
NA
2.319228
3.562232
NA
1.960209
2.276774
NA
2.898907
2.794103
3.032872
2.833282
NA
NA
NA
NA
2.659579
2.743303
2.141418
3.022213
NA
3.294445
2.645218
NA
NA
2.654014
NA
1.99178
1.809363
2.26303
NA
2.734663
NA
2.39414
NA
NA
2.21917
2.64575
NA
2.05427
NA
2.861739
NA
1.929633
NA
NA
2.763445
NA
2.261872
3.738356
2.323924
NA
NA
NA
1.862383
NA
2.542885
2.468389
3.505874
2.575848
3.027323
1.799421
1.659018
NA
2.103435
1.849477
NA
1.80NA4
NA
NA
1.703499
2.418732
2.480981
2.847757
NA
2.438901
2.119861
NA
1.919261
NA
1.570718
NA
2.427402
2.074128
3.329879
2.084511
5.489672
2.128154
3.156949
2.871046
NA
2.580013
2.432745
NA
2.815661
